"","Utilidad_Total_Opcion.1.","Utilidad_Total_Opcion.2.","Utilidad_Total_Opcion.3."
"1",974.025893962728,833.155587522819,1543
"2",1346,447.212716323652,748.711920657252
"3",1295,744.06333021882,558.457284416214
"4",1412,866.080275595207,749.54403351118
"5",675.953816901385,1526,839.120126868114
"6",1244,1439,1504
"7",1310,1433,624.021985354793
"8",1134.7180668654,1389.65936519352,1229.48547221638
"9",594.631817386173,750.787774132287,633.844633576171
"10",1075.11094421463,435.675300260107,1053.14977608365
"11",632.586712631459,1389.47720931675,1216.16582398672
"12",1259,842.835272812678,987.966748358524
"13",1256,1475,1170.99872578545
"14",1033.44067640373,1329.63063034251,1213.65826848683
"15",1292,703.826483883147,1510
"16",418.483061610442,862.475412810351,1513
"17",608.517685008413,1088.39418369772,1116.88935397449
"18",1277,1209.93696356799,416.581962776415
"19",972.623421894093,206.636015932368,969.737686680622
"20",1256,1529,1567
"21",1331,510.848258853752,1292.81536247707
"22",994.965297458329,861.461972509029,356.846725729586
"23",1349,1349.37957603179,930.826037626249
"24",853.275094366043,30.470721911508,1353.77312654586
"25",1134.33337870697,603.521280346692,1522
"26",872.383784285765,1389.70098831738,953.87669634932
"27",1053.36444762831,666.529814696509,1454.56740332018
"28",831.89798700209,255.293225951192,336.557175129617
"29",1174.94118553959,1466,1561
"30",1250,1448,675.003105780538
"31",1033.99449313953,1370.00828726293,1414.47932935157
"32",1271,122.5914488676,1394.66174692647
"33",1355,1046.16258058798,1313.32161533823
"34",1244,701.656760816564,1525
"35",1134.64850244116,1027.98701370376,1111.95883300444
"36",1361,624.007458521007,507.557691081467
"37",1337,643.688541224838,1395.45707402452
"38",509.880691880852,1026.51243843259,895.175744014162
"39",1280,1127.17240896926,291.836646690293
"40",1322,523.902564344219,-82.910013601333
"41",1113.86333497385,391.828373045691,495.821627270952
"42",1322,1496,1211.02014939084
"43",1235,1433,1031.06385099973
"44",1268,1553,1315.28503101517
"45",1319,1430,1519
"46",1238,1029.36555102642,1546
"47",1253,547.004541935618,1534
"48",1271,1229.59666930027,1552
"49",629.641126698179,711.022802267886,1504
"50",660.447781413509,1469,1274.65677666047
"51",1346,1448,1531
"52",351.851385352531,1171.25683388945,1498
"53",955.606331878093,572.346851514567,1501
"54",1250,1517,720.863199412678
"55",1268,870.300593603039,1549
"56",526.139186285755,703.226397764703,687.379375901804
"57",793.958967341299,1499,1561
"58",1349,1448,991.332396003767
"59",851.940121710688,49.1935595921759,1374.36971658702
"60",1346,1369.31621626238,1534
"61",1262,1493,795.550833712633
"62",1034.45720918066,690.502199743268,846.389647208889
"63",1253,1466,972.223509501033
"64",1301,824.908624521313,1073.65745960846
"65",870.766976079851,1463,1192.71862980937
"66",1301,1227.82684010442,1540
"67",1075.42820316449,1349.12342934013,1519
"68",1036.30149739119,1541,490.422933690667
"69",1262,1288.8655929397,1009.98803288073
"70",1238,1541,1585
"71",1265,705.155251686502,1355.24206916031
"72",1262,1248.18655301586,1537
"73",917.555674623038,833.070659676594,1543
"74",694.238276988024,1389.8456686872,1055.15521509058
"75",1235,1484,1495
"76",1292,1463,647.431462675891
"77",1307,1436,777.546905004669
"78",974.391894365056,1309.62218789327,1011.33932852604
"79",1265,1167.71485220677,1236.08001110124
"80",1364,1067.7450780807,1528
"81",1014.49492428727,1106.98492908611,1582
"82",1238,1409.78022981531,1513
"83",1238,909.954011704886,707.864037542712
"84",1325,1290.17022073838,1292.0322118173
"85",1289,1505,994.542368680956
"86",933.783445922084,1210.14617049062,376.934087701267
"87",1265,723.970547354099,1573
"88",1235,1457,480.38672552486
"89",876.218199387822,990.225183971774,1510
"90",1244,1211.33815657249,384.253821802728
"91",1194.99638010272,1228.6892922995,1534
"92",1310,1010.6950146472,1211.82988384791
"93",768.021382246738,1109.03523644512,1495
"94",1295,1520,1549
